Loading HF Config...
Loading HF model with dtype=torch.bfloat16...
n_params=6738415616
Placing model on device='cuda:0'...

Loading HF tokenizer...
NOT using autocast...

Generate seed:
42

Generate kwargs:
{'max_new_tokens': 10, 'temperature': 0.0, 'top_p': 1.0, 'top_k': 50, 'repetition_penalty': 1.0, 'no_repeat_ngram_size': 0, 'use_cache': True, 'do_sample': False, 'eos_token_id': 2, 'pad_token_id': 2}

Tokenizing prompts...
Warming up...
Generating responses...
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 757+50=[0m807; 123+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 290+589=[0m879; 123+3
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 395+458=[0m853; 345+4
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 136+468=[0m504; 123+2
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 704+995=[0m1699; 1000
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 367+609=[0m976; 123+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 521+855=[0m1376; 123+
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 721+470=[0m1191; 100+
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 975+760=[0m1735; 1000
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 717+649=[0m1366; 1023
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 595+864=[0m1469; 100+
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 458+31=[0m489; 123+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 225+490=[0m715; 123+2
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 742+31=[0m773; 123+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 295+493=[0m788; 123+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 910+498=[0m1408; 1000
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 100+358=[0m458; 100+1
####################################################################################################
